sequence,monotonic_ns,elapsed_ms,publish_gap_ms,ros_timestamp_us,reliability,subscription_count,arming_state,nav_state,nav_state_user_intention,failsafe
269,4504623662103,27088.088,111.594,1786609871454844,reliable,1,1,4,4,0
270,4504727224842,27191.651,103.563,1786609871558446,reliable,1,1,4,4,0
271,4504825263812,27289.690,98.039,1786609871656509,reliable,1,1,4,4,0
272,4504929205908,27393.632,103.942,1786609871760392,reliable,1,1,4,4,0
273,4505027873609,27492.300,98.668,1786609871859081,reliable,1,1,4,4,0
274,4505131498124,27595.924,103.625,1786609871962726,reliable,1,1,4,4,0
275,4505225788382,27690.214,94.290,1786609872056973,reliable,1,1,4,4,0
276,4505329725135,27794.151,103.937,1786609872160944,reliable,1,1,4,4,0
277,4505424105013,27888.531,94.380,1786609872255312,reliable,1,1,4,4,0
278,4505527389839,27991.816,103.285,1786609872358572,reliable,1,1,4,4,0
279,4505625027941,28089.454,97.638,1786609872456216,reliable,1,1,4,4,0
280,4505728608403,28193.034,103.580,1786609872559791,reliable,1,1,4,4,0
281,4505824064992,28288.491,95.457,1786609872655244,reliable,1,1,4,4,0
282,4505927665641,28392.092,103.601,1786609872758852,reliable,1,1,4,4,0
283,4506024222520,28488.648,96.557,1786609872855409,reliable,1,1,4,4,0
284,4506127740854,28592.167,103.518,1786609872958926,reliable,1,1,4,4,0
285,4506226153701,28690.580,98.413,1786609873057342,reliable,1,1,4,4,0
286,4506329874252,28794.300,103.721,1786609873161053,reliable,1,1,4,4,0
287,4506423897562,28888.324,94.023,1786609873255079,reliable,1,1,4,4,0
288,4506527505597,28991.932,103.608,1786609873358690,reliable,1,1,4,4,0
289,4506626169501,29090.595,98.664,1786609873457358,reliable,1,1,4,4,0
290,4506729663486,29194.089,103.494,1786609873560845,reliable,1,1,4,4,0
291,4506824861885,29289.288,95.198,1786609873656044,reliable,1,1,4,4,0
292,4506928490459,29392.916,103.629,1786609873759679,reliable,1,1,4,4,0
293,4507024346704,29488.773,95.856,1786609873855536,reliable,1,1,4,4,0
294,4507127768580,29592.195,103.422,1786609873958954,reliable,1,1,4,4,0
295,4507212545583,29676.972,84.777,1786609874043737,reliable,1,1,4,4,0
296,4507316807750,29781.234,104.262,1786609874147996,reliable,1,1,4,4,0
297,4507424746128,29889.172,107.938,1786609874255924,reliable,1,1,4,4,0
298,4507528861677,29993.288,104.116,1786609874360044,reliable,1,1,4,4,0
299,4507625371336,30089.797,96.510,1786609874456558,reliable,1,1,4,4,0
300,4507729307636,30193.734,103.936,1786609874560494,reliable,1,1,4,4,0
301,4507824806194,30289.232,95.499,1786609874655985,reliable,1,1,4,4,0
302,4507928491806,30392.918,103.686,1786609874759679,reliable,1,1,4,4,0
303,4508014687853,30479.114,86.196,1786609874845870,reliable,1,1,4,4,0
